OBJECTID|Código de la remoción en masa|Región|Tipo de remoción en masa|Tipo de material|Clasificación de remoción en masa|Detonante|Día del evento|Mes de inicio del evento|Año del evento|Estación de ocurrencia del evento|Método de obtención de la información|Fuente de la información|Autor de la fuente|Nota|Enlace de documento asociado|Latitud|Longitud|Precisión de coordenadas
572|RM-2014-18-001|Los Lagos|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|2|Junio|2014|Otoño (del 21-03 al 20-06)|Observado en terreno|2014. Minuta: Peligro de remoción en masa en Sector La Quebrada de Puerto Varas/ Derch, P. Quiroz, D. 2014. Minuta: Peligro de remoción en masa en Sector La Quebrada de Puerto Varas|Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-18.pdf|-41.32124073|-72.98309613|Coordenadas aproximadas al sector
573|RM-2014-19-001|Los Lagos|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|4|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Minuta: Remociones en masa en sectores de Puerto Montt Observaciones Preliminares.|Derch, P. Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-19.pdf|-41.49232234|-72.81290578|Coordenadas exactas
574|RM-2014-19-002|Los Lagos|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|4|Junio|2014|Otoño (del 21-03 al 20-06)|Observado en terreno|2014. Minuta: Remociones en masa en sectores de Puerto Montt Observaciones Preliminares.|Derch, P. Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-19.pdf|-41.50759804|-72.99884035|Coordenadas exactas
575|RM-2014-19-003|Los Lagos|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|4|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Minuta: Remociones en masa en sectores de Puerto Montt Observaciones Preliminares.|Derch, P. Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-19.pdf|-41.50759804|-72.99884035|Coordenadas exactas
576|RM-2014-19-004|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|4|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Minuta: Remociones en masa en sectores de Puerto Montt Observaciones Preliminares.|Derch, P. Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-19.pdf|-41.52257693|-73.04441188|Coordenadas aproximadas al sector
577|RM-2014-20-001|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Observaciones geológicas del deslizamiento ocurrido en ladera Angelmó, Puerto Montt.|Garrido, N.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-20.pdf|-41.48108351|-72.963019|Coordenadas exactas
578|RM-2014-21-001|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Observaciones geológicas del deslizamiento ocurrido en ladera Mc Iver, Población Modelo, Puerto Montt.|Garrido, N.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-21.pdf|-41.46779382|-72.95210731|Coordenadas exactas
579|RM-2014-22-001|Aysén|Flujo|Sin información|Flujo indeterminado|Lluvias|30|Mayo|2014|Otoño (del 21-03 al 20-06)| |2014. Observaciones geológicas del estado del deslizamiento ocurrido en Camino a al a Tapera Km 5, Comuna de Lago Verde, Región de Aysén.|Garrido, N.; Quiroz, D.; Hermosilla, G.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-22.pdf|-44.72784788|-72.16634601|Coordenadas exactas
580|RM-2014-23-001|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento rotacional de arcilla/limo|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Observaciones geológicas del estado del deslizamiento ocurrido en Sector Panitao, Puerto Montt, Los Lagos.|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-23.pdf|-41.52702558|-73.04754993|Coordenadas exactas
581|RM-2014-24-001|Los Lagos|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|15|Noviembre|2014|Primavera (del 21-09 al 20-12)|Observado en terreno|2014. Observaciones y antecedentes de un deslizamiento submarino en Caleta La Arena, Puerto Montt, Región de los lagos.|Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-24.pdf|-41.69212649|-72.64235956|Coordenadas exactas
582|RM-2014-25-001|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento rotacional de arcilla/limo|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Observaciones y evaluación actual de remoción en masa ocurrida en Panitao Bajo, Puerto Montt.|Garrido, N; Derch, P; Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-25.pdf|-41.52702558|-73.04754993|Coordenadas exactas
583|RM-2014-26-001|Los Lagos|Flujo|Sin información|Flujo indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remoción en masa en Frutillar Bajo, Comuna de Frutillar, región de Los Lagos: Caracterización, condicionantes y recomendaciones.|Mella, M.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-26.pdf|-41.13793821|-73.02897026|Coordenadas exactas
584|RM-2014-27-001|Bío Bío|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|13|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remoción en masa sector Cerro Alegre, Talcahuano, Región del Biobío.|Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-27.pdf|-36.70743602|-73.11609742|Coordenadas exactas
585|RM-2014-28-001|Los Lagos|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa Calbuco|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-28.pdf|-41.75304996|-73.14001261|Coordenadas exactas
586|RM-2014-28-002|Los Lagos|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa Calbuco|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-28.pdf|-41.76326204|-73.1293963|Coordenadas exactas
587|RM-2014-28-003|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa Calbuco|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-28.pdf|-41.7654939|-73.13593588|Coordenadas exactas
588|RM-2014-28-004|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa Calbuco|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-28.pdf|-41.7658119|-73.13610712|Coordenadas exactas
589|RM-2014-28-005|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)|Observado en terreno|2014. Remociones en masa Calbuco|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-28.pdf|-41.76767939|-73.13297328|Coordenadas exactas
590|RM-2014-29-001|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|1y 2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa en Pucatruhue y Maicolpué.|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-29.pdf|-40.54525576|-73.71774251|Coordenadas exactas
591|RM-2014-29-002|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|1y 2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa en Pucatruhue y Maicolpué.|Garrido, N.; Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-29.pdf|-40.60475628|-73.74471296|Coordenadas exactas
592|RM-2014-30-001|Los Ríos|Caída|Sin información|Caída de roca|Sin información|10|Diciembre|2013|Primavera (del 21-09 al 20-12)| |2014. Remociones en masa sector pasarela en Playa Grande de Niebla, Comuna de Valdivia, Región de los Ríos.|Derch, P.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-30.pdf|-39.86535408|-73.3973531|Coordenadas exactas
593|RM-2014-31-001|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa tipo deslizamiento ocurrido en Ladera Angelmó y en Ladera Mac Iver, Puerto Montt|Garrido, N; Derch, P; Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-31.pdf|-41.48108351|-72.963019|Coordenadas exactas
594|RM-2014-31-002|Los Lagos|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|2|Junio|2014|Otoño (del 21-03 al 20-06)| |2014. Remociones en masa tipo deslizamiento ocurrido en Ladera Angelmó y en Ladera Mac Iver, Puerto Montt|Garrido, N; Derch, P; Quiroz, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-31.pdf|-41.46779382|-72.95210731|Coordenadas exactas
595|RM-2014-32-001|Valparaíso|Flujo|Suelo/Sedimento|Flujo indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06699766|-71.6006275|Coordenadas exactas
596|RM-2014-32-002|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento compuesto de arcilla/limo|Lluvias|26|Abril|2004|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.0180668|-71.50449192|Coordenadas aproximadas al sector
597|RM-2014-32-003|Valparaíso|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|10|Abril|2004|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.0150764|-71.51285156|Coordenadas aproximadas al sector
598|RM-2014-32-004|Valparaíso|Caída|Sin información|Caída indeterminada|Sin información|27|Julio|2006|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.00471531|-71.51736239|Coordenadas inexactas ubicadas en la ciudad o comuna
599|RM-2014-32-005|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|27|Junio|2007|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.99458636|-71.54728036|Coordenadas aproximadas al sector
600|RM-2014-32-006|Valparaíso|Caída|Sin información|Caída indeterminada|Sin información|19|Agosto|2008|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.9902951|-71.54680393|Coordenadas aproximadas al sector
601|RM-2014-32-007|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|14|Junio|2007|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.96979122|-71.54281338|Coordenadas aproximadas al sector
602|RM-2014-32-008|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias|14|Junio|2007|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.96914081|-71.54375744|Coordenadas aproximadas al sector
603|RM-2014-32-009|Valparaíso|Caída|Roca|Caída de bloque/detrito/arena/limo|Sin información|20|Junio|2009|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.96859112|-71.54506807|Coordenadas inexactas ubicadas en la provincia o región
604|RM-2014-32-010|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|1|Junio|2008|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.9556299|-71.5470385|Coordenadas aproximadas al sector
605|RM-2014-32-011|Valparaíso|Flujo|Suelo/Sedimento|Flujo indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06459841|-71.5894097|Coordenadas exactas
606|RM-2014-32-012|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|21|Mayo|2011|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.94897591|-71.54834475|Coordenadas aproximadas al sector
607|RM-2014-32-013|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información|11|Marzo|2010|Verano (del 21-12 al 20-03)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.9439712|-71.55101352|Coordenadas inexactas ubicadas en la ciudad o comuna
608|RM-2014-32-014|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|18|Enero|2006|Verano (del 21-12 al 20-03)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.921867|-71.52324473|Coordenadas aproximadas al sector
609|RM-2014-32-015|Valparaíso|Caída|Roca|Caída de bloque/detrito/arena/limo|Sin información|10|Junio|2009|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.92046783|-71.50899668|Coordenadas exactas
610|RM-2014-32-016|Valparaíso|Flujo|Suelo/Sedimento|Flujo de barro|Lluvias|12|Febrero|2011|Verano (del 21-12 al 20-03)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.90810446|-70.30446281|Coordenadas aproximadas al sector
611|RM-2014-32-017|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06459841|-71.5894097|Coordenadas exactas
612|RM-2014-32-018|Valparaíso|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|13|Enero|2005|Verano (del 21-12 al 20-03)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.84266217|-70.13172353|Coordenadas aproximadas al sector
613|RM-2014-32-019|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|14|Agosto|2004|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-32.6574548|-71.14344944|Coordenadas aproximadas al sector
614|RM-2014-32-020|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06459841|-71.5894097|Coordenadas exactas
615|RM-2014-32-021|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06459841|-71.5894097|Coordenadas exactas
616|RM-2014-32-022|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06459841|-71.5894097|Coordenadas exactas
617|RM-2014-32-023|Valparaíso|Flujo|Suelo/Sedimento|Flujo indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06328037|-71.60031465|Coordenadas exactas
618|RM-2014-32-024|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06282506|-71.6000978|Coordenadas exactas
619|RM-2014-32-025|Valparaíso|Caída|Suelo/Sedimento|Caída de bloque/detrito/arena/limo|Sin información|25|Junio|1962|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06274294|-71.59625124|Coordenadas aproximadas al sector
620|RM-2014-32-026|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|2|Junio|1991|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06278974|-71.59400395|Coordenadas inexactas ubicadas en la ciudad o comuna
621|RM-2014-32-027|Valparaíso|Flujo|Suelo/Sedimento|Flujo de barro|Sin información|4|Junio|2002|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06268795|-71.5971598|Coordenadas inexactas ubicadas en la ciudad o comuna
622|RM-2014-32-028|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06219005|-71.60028257|Coordenadas exactas
623|RM-2014-32-029|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|12|Junio|1997|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06177529|-71.59682245|Coordenadas aproximadas al sector
624|RM-2014-32-030|Valparaíso|Flujo|Suelo/Sedimento|Flujo indeterminado|Sin información|27|Junio|1982|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06173782|-71.59645729|Coordenadas aproximadas al sector
625|RM-2014-32-031|Valparaíso|Caída|Sin información|Caída indeterminada|Evento Sísmico|21|Diciembre|2007|Verano (del 21-12 al 20-03)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06114934|-71.60952482|Coordenadas aproximadas al sector
626|RM-2014-32-032|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|2|Julio|1984|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06091075|-71.60929291|Coordenadas inexactas ubicadas en la ciudad o comuna
627|RM-2014-32-033|Valparaíso|Caída|Roca|Caída de roca|Sin información|14|Mayo|2005|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.0609813|-71.59728097|Coordenadas inexactas ubicadas en la ciudad o comuna
628|RM-2014-32-034|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Sin información|3|Julio|2005|Invierno (del 21-06 al 20-09)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.06044972|-71.61021086|Coordenadas aproximadas al sector
629|RM-2014-32-035|Valparaíso|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información|16|Junio|1997|Otoño (del 21-03 al 20-06)| |"2014. Susceptibidad de Remociones en Masa en Cuenca Las Zorras, afectada por Catástrofe Incenciaria, Comuna de Valparaíso, Abril 2014. Anexo E. (Fuente Original ""El Mercurio de Valparaíso"")"|Fuenzalida, F.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2014-32.pdf|-33.05984967|-71.597933|Coordenadas aproximadas al sector
